正在生成 10000 道四则运算题目 (数值范围: [0, 100))...
生成完毕！
  - 题目文件已生成: Exercises.txt (10000 题)
  - 答案文件已生成: Answers.txt (10000 题)
         2468628 function calls (2307884 primitive calls) in 1.144 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.001    0.000    0.002    0.001 {built-in method _imp.create_dynamic}
       20    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
       20    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
        1    0.000    0.000    0.002    0.002 decimal.py:1(<module>)
    103/9    0.001    0.000    0.002    0.000 _compiler.py:37(_compile)
    50/48    0.001    0.000    0.002    0.000 {built-in method builtins.__build_class__}
       51    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
     5091    0.001    0.000    0.001    0.000 {built-in method _operator.le}
        1    0.000    0.000    0.001    0.001 generator.py:1(<module>)
        1    0.000    0.000    0.001    0.001 validator.py:1(<module>)
        2    0.001    0.000    0.001    0.000 {built-in method _io.open}
     5230    0.001    0.000    0.001    0.000 {built-in method _operator.gt}
       48    0.001    0.000    0.001    0.000 _compiler.py:243(_optimize_charset)
        1    0.000    0.000    0.001    0.001 evaluator.py:1(<module>)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
    26/22    0.000    0.000    0.001    0.000 typing.py:392(inner)
       99    0.001    0.000    0.001    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
       93    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       26    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(__enter__)
        9    0.000    0.000    0.000    0.000 _compiler.py:511(_compile_info)
        3    0.000    0.000    0.000    0.000 __init__.py:355(namedtuple)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.000    0.000    0.000    0.000 argparse.py:1(<module>)
      958    0.000    0.000    0.000    0.000 _parser.py:261(get)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
       11    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
      261    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       17    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      8/4    0.000    0.000    0.000    0.000 typing.py:508(__getitem__)
        4    0.000    0.000    0.000    0.000 typing.py:740(Optional)
      629    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
        3    0.000    0.000    0.000    0.000 gettext.py:631(gettext)
        3    0.000    0.000    0.000    0.000 gettext.py:593(dgettext)
        3    0.000    0.000    0.000    0.000 argparse.py:1376(__init__)
        3    0.000    0.000    0.000    0.000 gettext.py:534(translation)
       11    0.000    0.000    0.000    0.000 typing.py:1242(__init__)
        3    0.000    0.000    0.000    0.000 gettext.py:479(find)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:632(cached)
   119/29    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
       17    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 tree.py:1(<module>)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.000    0.000 argparse.py:1907(parse_args)
        1    0.000    0.000    0.000    0.000 argparse.py:1914(parse_known_args)
     1172    0.000    0.000    0.000    0.000 _parser.py:240(__next)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tree.py:21(TreeNode)
        1    0.000    0.000    0.000    0.000 typing.py:2780(__new__)
        1    0.000    0.000    0.000    0.000 argparse.py:1952(_parse_known_args)
        4    0.000    0.000    0.000    0.000 typing.py:687(Union)
        7    0.000    0.000    0.000    0.000 typing.py:1458(copy_with)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
       24    0.000    0.000    0.000    0.000 typing.py:175(_type_check)
        1    0.000    0.000    0.000    0.000 typing.py:2761(_make_nmtuple)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       65    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        5    0.000    0.000    0.000    0.000 shutil.py:1461(get_terminal_size)
        2    0.000    0.000    0.000    0.000 argparse.py:2020(consume_optional)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       66    0.000    0.000    0.000    0.000 typing.py:1188(__setattr__)
        2    0.000    0.000    0.000    0.000 typing.py:1548(__getitem__)
       18    0.000    0.000    0.000    0.000 enum.py:1562(__and__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
       20    0.000    0.000    0.000    0.000 _parser.py:98(closegroup)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
        5    0.000    0.000    0.000    0.000 typing.py:1449(__getitem__)
        1    0.000    0.000    0.000    0.000 fractions.py:162(Fraction)
       11    0.000    0.000    0.000    0.000 typing.py:1147(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
       25    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        2    0.000    0.000    0.000    0.000 argparse.py:2241(_match_argument)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
       11    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
        2    0.000    0.000    0.000    0.000 __init__.py:164(match)
       22    0.000    0.000    0.000    0.000 <frozen os>:680(__getitem__)
        7    0.000    0.000    0.000    0.000 fractions.py:533(_operator_fallbacks)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
      304    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
      287    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       20    0.000    0.000    0.000    0.000 enum.py:726(__call__)
      239    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
       51    0.000    0.000    0.000    0.000 _compiler.py:398(_simple)
      556    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      131    0.000    0.000    0.000    0.000 _parser.py:293(tell)
