正在生成 10000 道四则运算题目 (数值范围: [0, 100))...
生成完毕！
  - 题目文件已生成: Exercises.txt (10000 题)
  - 答案文件已生成: Answers.txt (10000 题)
         2468628 function calls (2307884 primitive calls) in 1.144 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        5    0.000    0.000    0.000    0.000 typing.py:295(_check_generic)
       12    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       10    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       15    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
        3    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        2    0.000    0.000    0.000    0.000 typing.py:944(__hash__)
        3    0.000    0.000    0.000    0.000 enum.py:117(_iter_bits_lsb)
        1    0.000    0.000    0.000    0.000 argparse.py:1374(_ActionsContainer)
        2    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        1    0.000    0.000    0.000    0.000 numbers.py:292(Rational)
       12    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
        4    0.000    0.000    0.000    0.000 typing.py:487(__repr__)
        1    0.000    0.000    0.000    0.000 random.py:222(__init_subclass__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
        7    0.000    0.000    0.000    0.000 enum.py:1292(value)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        4    0.000    0.000    0.000    0.000 argparse.py:2279(_parse_optional)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
       20    0.000    0.000    0.000    0.000 __init__.py:108(<lambda>)
        5    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 <frozen codecs>:186(__init__)
        2    0.000    0.000    0.000    0.000 argparse.py:992(__call__)
        6    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        3    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 {built-in method sys._getframemodulename}
        1    0.000    0.000    0.000    0.000 argparse.py:2263(_match_arguments_partial)
        2    0.000    0.000    0.000    0.000 {built-in method math.log}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
        1    0.000    0.000    0.000    0.000 validator.py:25(Violation)
        4    0.000    0.000    0.000    0.000 _parser.py:166(__delitem__)
        5    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.000    0.000 random.py:876(SystemRandom)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1276(__init__)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        1    0.000    0.000    0.000    0.000 argparse.py:118(_AttributeHolder)
        2    0.000    0.000    0.000    0.000 enum.py:1411(<lambda>)
        1    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
        2    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1899(_get_positional_actions)
        1    0.000    0.000    0.000    0.000 argparse.py:806(Action)
        1    0.000    0.000    0.000    0.000 argparse.py:216(_Section)
        1    0.000    0.000    0.000    0.000 typing.py:2846(_namedtuple_mro_entries)
        1    0.000    0.000    0.000    0.000 argparse.py:1726(_MutuallyExclusiveGroup)
        1    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:961(_StoreAction)
        2    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1141(_HelpAction)
        1    0.000    0.000    0.000    0.000 argparse.py:743(MetavarTypeHelpFormatter)
        1    0.000    0.000    0.000    0.000 numbers.py:37(Number)
        1    0.000    0.000    0.000    0.000 argparse.py:1354(Namespace)
        1    0.000    0.000    0.000    0.000 shutil.py:87(_GiveupOnFastCopy)
        2    0.000    0.000    0.000    0.000 argparse.py:2594(_check_value)
        1    0.000    0.000    0.000    0.000 shutil.py:73(SpecialFileError)
        2    0.000    0.000    0.000    0.000 typing.py:2786(<genexpr>)
        1    0.000    0.000    0.000    0.000 argparse.py:692(RawDescriptionHelpFormatter)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1014(is_package)
        1    0.000    0.000    0.000    0.000 argparse.py:1053(_AppendAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1160(_VersionAction)
        1    0.000    0.000    0.000    0.000 argparse.py:996(_StoreConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1190(_ChoicesPseudoAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1118(_CountAction)
        1    0.000    0.000    0.000    0.000 shutil.py:77(ExecError)
        1    0.000    0.000    0.000    0.000 argparse.py:777(ArgumentError)
        1    0.000    0.000    0.000    0.000 argparse.py:1361(__init__)
        1    0.000    0.000    0.000    0.000 shutil.py:67(Error)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 shutil.py:70(SameFileError)
        1    0.000    0.000    0.000    0.000 argparse.py:703(RawTextHelpFormatter)
        1    0.000    0.000    0.000    0.000 shutil.py:83(RegistryError)
        1    0.000    0.000    0.000    0.000 argparse.py:1288(_ExtendAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1019(_StoreTrueAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1036(_StoreFalseAction)
        1    0.000    0.000    0.000    0.000 argparse.py:714(ArgumentDefaultsHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:1091(_AppendConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:797(ArgumentTypeError)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 shutil.py:80(ReadError)
        1    0.000    0.000    0.000    0.000 {built-in method math.sqrt}


